2,1,1347.37,418.23,164.24,374.59,1.00,-1,-1,-1
2,2,583.73,442.70,87.88,264.40,1.00,-1,-1,-1
2,3,1425.55,429.28,183.44,340.40,1.00,-1,-1,-1
2,4,440.72,443.53,116.11,278.49,1.00,-1,-1,-1
2,5,733.48,472.39,32.64,94.57,1.00,-1,-1,-1
2,6,910.18,478.75,98.97,106.46,1.00,-1,-1,-1
2,7,935.38,432.92,37.58,84.06,1.00,-1,-1,-1
2,8,1016.79,429.71,40.62,100.62,1.00,-1,-1,-1
2,9,654.74,458.60,48.16,184.40,1.00,-1,-1,-1
2,10,1255.45,446.02,35.95,98.97,1.00,-1,-1,-1
3,1,1354.81,418.70,170.61,380.94,1.00,-1,-1,-1
3,2,585.25,443.21,87.98,264.47,1.00,-1,-1,-1
3,3,1427.66,430.27,188.04,340.81,1.00,-1,-1,-1
3,4,440.79,442.66,117.05,280.15,1.00,-1,-1,-1
3,5,733.80,473.69,32.62,93.97,1.00,-1,-1,-1
3,6,911.06,479.88,97.71,105.09,1.00,-1,-1,-1
3,7,935.37,432.97,37.37,83.31,1.00,-1,-1,-1
3,8,1015.75,430.28,40.43,99.89,1.00,-1,-1,-1
3,9,652.32,457.25,48.91,185.80,1.00,-1,-1,-1
3,10,1256.12,445.96,35.88,99.05,1.00,-1,-1,-1
4,1,1357.34,417.12,174.84,385.55,1.00,-1,-1,-1
4,2,585.21,443.11,87.98,263.74,1.00,-1,-1,-1
4,3,1435.81,429.06,188.67,342.27,1.00,-1,-1,-1
4,4,441.41,442.69,117.57,280.35,1.00,-1,-1,-1
4,5,733.89,474.27,32.78,94.00,1.00,-1,-1,-1
4,6,911.62,480.97,96.91,104.05,1.00,-1,-1,-1
4,7,935.26,433.12,37.15,82.76,1.00,-1,-1,-1
4,8,1015.10,430.45,40.26,99.17,1.00,-1,-1,-1
4,9,651.04,458.15,49.25,184.69,1.00,-1,-1,-1
4,10,1256.46,445.99,35.84,99.03,1.00,-1,-1,-1
5,1,1359.26,414.72,176.35,388.54,1.00,-1,-1,-1
5,2,584.84,442.79,88.17,263.42,1.00,-1,-1,-1
5,3,1447.75,426.69,186.67,344.37,1.00,-1,-1,-1
